rank,region,score,gdp,support,life_expectancy,freedom,generosity,corruption
124,Middle East and Northern Africa,4.460999965667725,0.9210000038146973,1,0.8149999976158142,0.16699999570846558,0.05900000035762787,0.054999999701976776
125,Southern Asia,4.455999851226807,0.5619999766349792,0.9279999732971191,0.7229999899864197,0.5270000100135803,0.16599999368190765,0.14300000667572021
126,Middle East and Northern Africa,4.436999797821045,1.0429999828338623,0.9800000190734863,0.5740000009536743,0.2409999966621399,0.14800000190734863,0.08900000154972076
127,Sub-Saharan Africa,4.418000221252441,0.09399999678134918,1.125,0.3569999933242798,0.26899999380111694,0.21199999749660492,0.05299999937415123
128,Sub-Saharan Africa,4.389999866485596,0.38499999046325684,1.1050000190734863,0.30799999833106995,0.3269999921321869,0.15299999713897705,0.052000001072883606
129,Sub-Saharan Africa,4.374000072479248,0.2680000066757202,0.8410000205039978,0.24199999868869781,0.3089999854564667,0.25200000405311584,0.04500000178813934
130,Southern Asia,4.366000175476074,0.9490000009536743,1.2649999856948853,0.8309999704360962,0.4699999988079071,0.24400000274181366,0.04699999839067459
131,Southeastern Asia,4.360000133514404,0.7099999785423279,1.180999994277954,0.5550000071525574,0.5249999761581421,0.5659999847412109,0.1720000058412552
132,Sub-Saharan Africa,4.349999904632568,0.3499999940395355,0.765999972820282,0.19200000166893005,0.17399999499320984,0.1979999989271164,0.07800000160932541
133,Central and Eastern Europe,4.331999778747559,0.8199999928474426,1.3899999856948853,0.7390000224113464,0.17800000309944153,0.18700000643730164,0.009999999776482582
134,Sub-Saharan Africa,4.285999774932861,0.335999995470047,1.0329999923706055,0.5320000052452087,0.3440000116825104,0.20900000631809235,0.10000000149011612
135,Sub-Saharan Africa,4.211999893188477,0.8109999895095825,1.1490000486373901,0,0.31299999356269836,0.07400000095367432,0.13500000536441803
136,Sub-Saharan Africa,4.189000129699707,0.3319999873638153,1.069000005722046,0.4429999887943268,0.35600000619888306,0.25200000405311584,0.05999999865889549
137,Middle East and Northern Africa,4.165999889373779,0.9129999876022339,1.0390000343322754,0.6439999938011169,0.2409999966621399,0.07599999755620956,0.06700000166893005
138,Sub-Saharan Africa,4.10699987411499,0.578000009059906,1.0579999685287476,0.4259999990463257,0.4309999942779541,0.24699999392032623,0.08699999749660492
139,Sub-Saharan Africa,4.085000038146973,0.2750000059604645,0.5720000267028809,0.4099999964237213,0.2930000126361847,0.1770000010728836,0.08500000089406967
140,Southern Asia,4.014999866485596,0.7549999952316284,0.7649999856948853,0.5879999995231628,0.49799999594688416,0.20000000298023224,0.08500000089406967
141,Sub-Saharan Africa,3.9749999046325684,0.0729999989271164,0.921999990940094,0.4429999887943268,0.3700000047683716,0.2329999953508377,0.032999999821186066
142,Sub-Saharan Africa,3.9730000495910645,0.27399998903274536,0.7570000290870667,0.5049999952316284,0.1420000046491623,0.2750000059604645,0.07800000160932541
143,Sub-Saharan Africa,3.933000087738037,0.27399998903274536,0.9160000085830688,0.5550000071525574,0.14800000190734863,0.16899999976158142,0.04100000113248825
144,Sub-Saharan Africa,3.802000045776367,0.48899999260902405,1.1690000295639038,0.1679999977350235,0.35899999737739563,0.10700000077486038,0.09300000220537186
145,Sub-Saharan Africa,3.7750000953674316,0.04600000008940697,0.44699999690055847,0.3799999952316284,0.2199999988079071,0.17599999904632568,0.18000000715255737
146,Sub-Saharan Africa,3.6630001068115234,0.3659999966621399,1.1139999628067017,0.43299999833106995,0.3610000014305115,0.1509999930858612,0.08900000154972076
147,Latin America and Caribbean,3.5969998836517334,0.3230000138282776,0.6880000233650208,0.4490000009536743,0.026000000536441803,0.4189999997615814,0.10999999940395355
148,Sub-Saharan Africa,3.48799991607666,1.0410000085830688,1.1449999809265137,0.5379999876022339,0.45500001311302185,0.02500000037252903,0.10000000149011612
149,Middle East and Northern Africa,3.4619998931884766,0.6190000176429749,0.3779999911785126,0.4399999976158142,0.013000000268220901,0.3310000002384186,0.14100000262260437
150,Sub-Saharan Africa,3.4100000858306885,0.19099999964237213,0.5600000023841858,0.4950000047683716,0.4429999887943268,0.21799999475479126,0.08900000154972076
151,Middle East and Northern Africa,3.380000114440918,0.28700000047683716,1.1629999876022339,0.46299999952316284,0.14300000667572021,0.1080000028014183,0.07699999958276749
152,Sub-Saharan Africa,3.3340001106262207,0.35899999737739563,0.7110000252723694,0.6140000224113464,0.5550000071525574,0.21699999272823334,0.41100001335144043
153,Sub-Saharan Africa,3.2309999465942383,0.47600001096725464,0.8849999904632568,0.49900001287460327,0.4169999957084656,0.2759999930858612,0.1469999998807907
154,Southern Asia,3.203000068664551,0.3499999940395355,0.5170000195503235,0.3610000014305115,0,0.15800000727176666,0.02500000037252903
155,Sub-Saharan Africa,3.0829999446868896,0.026000000536441803,0,0.10499999672174454,0.22499999403953552,0.23499999940395355,0.03500000014901161
